d/dx, \frac{\text{d}}{\text{d}x}
d/dy, \frac{\text{d}}{\text{d}y}
d/dt, \frac{\text{d}}{\text{d}t}
du, \text{d}u
dv, \text{d}v
<=, \le
>=, \ge
dom, \text{dom}
cod, \text{cod}
rank, \text{rank}
ran, \text{ran}
span, \text{span}
nullity, \text{nullity}
arg, \text{arg}
s.t., \text{ s.t. }
where, \text{ where }
diag, \text{diag}
cam, \text{cam}
deg, \text{deg }
depth, \text{depth}
lub, \text{lub}
inv, \text{inv}
im, \text{im}
ker, \text{ker}
ob, \text{ob}
hom, \text{hom}
Set, \text{Set}
Grp, \text{Grp}
open, \text{open}
closed, \text{closed}
VectorSpace, \text{VectorSpace}
FiniteVectorSpace, \text{FiniteVectorSpace}
Basis, \text{Basis}
OrderedBasis, \text{OrderedBasis}
!:, \mathrel{:\!\!\mathrel{/}}
LinearCombination, \text{LinearCombination}
Field, \text{Field}
InnerProductSpace, \text{InnerProductSpace}
FiniteInnerProductSpace, \text{FiniteInnerProductSpace}
linear, \text{linear}
bilinear, \text{bilinear}
Basis, \text{Basis}
sup, \sup
